Date,Experiment,Camera,Fly id,Well location,Start Time,File,Length,Frame rate,Time of death (hours into video),Associated data,Most Recent Tracking Date,Number of individuals,Notes,"Center coords (x,y) indexed to UL corner",Collapse (hours into video)
2/17/2022,exp1,Camera 1,1,UL,2022/02/17 12:35:0.0,20220217-lts-cam1,,99.96,119,,,,,"(369,392)",117
2/17/2022,exp1,Camera 1,2,UR,2022/02/17 12:35:0.0,20220217-lts-cam1,,99.96,103,,,,,"(1148,383)",80
2/17/2022,exp1,Camera 1,3,LR,2022/02/17 12:35:0.0,20220217-lts-cam1,,99.96,158,,,,,"(1159,1152)",148
2/17/2022,exp1,Camera 1,4,LL,2022/02/17 12:35:0.0,20220217-lts-cam1,,99.96,132,,,,,"(384,1165)",120
2/17/2022,exp1,Camera 2,5,UL,2022/02/17 12:35:0.0,20220217-lts-cam2,,99.96,123,,,,,"(386,381)",97
2/17/2022,exp1,Camera 2,6,UR,2022/02/17 12:35:0.0,20220217-lts-cam2,,99.96,175,,,,,"(1162,384)",163
2/17/2022,exp1,Camera 2,7,LR,2022/02/17 12:35:0.0,20220217-lts-cam2,,99.96,187,,,,,"(385,1160)",187
2/17/2022,exp1,Camera 2,8,LL,2022/02/17 12:35:0.0,20220217-lts-cam2,,99.96,155,,,,,"(1167,1143)",147
2/17/2022,exp1,Camera 3,9,UL,2022/02/17 12:35:0.0,20220217-lts-cam3,,99.96,151,,,,,"(376,387)",151
2/17/2022,exp1,Camera 3,10,UR,2022/02/17 12:35:0.0,20220217-lts-cam3,,99.96,102,,,,,"(1149,391)",102
2/17/2022,exp1,Camera 3,11,LR,2022/02/17 12:35:0.0,20220217-lts-cam3,,99.96,122,,,,,"(1147,1158)",90
2/17/2022,exp1,Camera 3,12,LL,2022/02/17 12:35:0.0,20220217-lts-cam3,,99.96,181,,,,,"(375,1155)",157
2/17/2022,exp1,Camera 4,13,UL,2022/02/17 12:35:0.0,20220217-lts-cam4,,99.96,129,,,,,"(380,396)",101
2/17/2022,exp1,Camera 4,14,UR,2022/02/17 12:35:0.0,20220217-lts-cam4,,99.96,108,,,,,"(1161,389)",75
2/17/2022,exp1,Camera 4,15,LR,2022/02/17 12:35:0.0,20220217-lts-cam4,,99.96,0,,,,,"(1170,1155)",0
2/17/2022,exp1,Camera 4,16,LL,2022/02/17 12:35:0.0,20220217-lts-cam4,,99.96,145,,,,,"(399,1171)",140
3/12/2022,exp2,Camera 3,17,UL,2022/03/12 21:17:0.0,20220312-lts-cam3,,99.96,112,,,,,"(384,385)",85
3/12/2022,exp2,Camera 3,18,UR,2022/03/12 21:17:0.0,20220312-lts-cam3,,99.96,106,,,,,"(1157,376)",94
3/12/2022,exp2,Camera 3,19,LR,2022/03/12 21:17:0.0,20220312-lts-cam3,,99.96,119,,,,,"(1164,1150)",116
3/12/2022,exp2,Camera 3,20,LL,2022/03/12 21:17:0.0,20220312-lts-cam3,,99.96,119,,,,,"(396,1154)",113
3/12/2022,exp2,Camera 4,21,UL,2022/03/12 21:17:0.0,20220312-lts-cam4,,99.96,117,,,,,"(380,377)",104
