,Overall behavior fractions
0,0.1390485866464325
1,0.004422158388230019
2,0.0015969293988381775
3,0.009070788393600615
4,0.008855747769231906
5,0.0063944382307582395
6,0.0008001103682060732
7,0.011697610823967638
8,0.0031382016880422948
9,0.01772485797484196
10,0.003218691644042827
11,0.004950881221145366
12,0.003059603758431589
13,0.004510433244480358
14,0.010872332563055228
15,0.0015263922899924614
16,0.005152362323053652
17,0.01910787013998039
18,0.002613223490690146
19,0.0035730918371871872
20,0.0035939829619081876
21,0.002560916844454737
22,0.007984311947851023
23,0.012197598506087497
24,0.014502382278019482
25,0.0007541893110363279
26,0.0026934572347837226
27,0.0068647250402794685
28,0.0008057667387673251
29,0.007433614016762171
30,0.014500667629103701
31,0.012373497834516672
32,0.002586873081490168
33,0.00329066748128914
34,0.010353523160078244
35,0.0038710465763683935
36,0.004830974048690116
37,0.016431579102962696
38,0.0029186872096059755
39,0.0031010312529254967
40,0.0035125272841045148
41,0.004427046123070404
42,0.008430948427499422
43,0.0042472247816039855
44,0.002468917061249427
45,0.0027850037199998027
46,0.009075360790709362
47,0.006359928457752135
48,0.002249047827865016
49,0.0038849608537769083
50,0.006081366989066649
51,0.003710933843129333
52,0.02267981887789039
53,0.003095670511487655
54,0.006280719561286381
55,0.003993239947378016
56,0.008357455027419601
57,0.005792005203072572
58,0.005775114925821726
59,0.008589090299915746
60,0.006120882748562503
61,0.0032240523854806685
62,0.0031249575033135096
63,0.004998654887488483
64,0.00337460644372946
65,0.008009164502825721
66,0.003632158536044581
67,0.004377636642244416
68,0.006215779697177235
69,0.013094714643988628
70,0.0037156244918874442
71,0.005507807072434062
72,0.004956261671191435
73,0.005955704903009011
74,0.004710337657730455
75,0.004261316436486547
76,0.0024115847199160413
77,0.004970806624063225
78,0.003200224678133792
79,0.00023141847780564355
80,0.004779633124257848
81,0.003329552565321718
82,0.004563311440354361
83,0.005852175583990697
84,0.001823617810669255
85,0.004820075188340388
86,0.0031378666417024295
87,0.0023045078514168024
88,0.003948008691496229
89,0.004836709253684278
90,0.005719733736702848
91,0.0070920047103573665
92,0.004319082367200934
93,0.004929457964002227
94,0.008423025566992023
95,0.0016510098198140493
96,0.008058613400868164
97,0.0070232807934685676
98,0.007565326645545608
99,0.002924599792074183
100,0.013924939765566104
101,0.013938518996634754
102,0.0046211364968934306
103,0.006943756559271176
104,0.005655188044758249
105,0.00320046118143252
106,0.017310898367634525
107,0.011801672275408091
108,0.0061907497647284895
109,0.007287297309282262
110,0.007329867903053356
111,0.0052017126780549575
112,0.006374887291396699
113,0.011178269288568514
114,0.016086520790118103
115,0.010814172460176293
116,0.008522297826633227
117,0.00424994456953936
118,0.0035989298225732546
119,0.0025210463300107903
120,0.005192449632188099
121,0.007299181600043359
122,0.0044517410091792844
123,0.00546537443892056
124,0.003675083884763768
125,0.02277524795892726
126,0.0027651374429066254
127,0.009588356154259276
128,0.00620708820094897
129,0.000413407766177072
130,0.014885359953093513
131,0.007740496755470371
132,0.006822036194859009
133,0.003663849978074173
134,0.010913089964869406
135,0.005763821893307449
136,0.005650536813216592
