Date,Experiment,Camera,Fly id,Well location,Start Time,File,Length,Frame rate,Time of death (hours into video),Associated data,Most Recent Tracking Date,Number of individuals,Notes,"Center coords (x,y) indexed to UL corner"
2/17/2022,exp1,Camera 1,1,UL,2022/02/17 12:35:0.0,20220217-lts-cam1,,99.96,118:58:00,,,,,"(369,392)"
2/17/2022,exp1,Camera 1,2,UR,2022/02/17 12:35:0.0,20220217-lts-cam1,,99.96,102:35:00,,,,,"(1148,383)"
2/17/2022,exp1,Camera 1,3,LL,2022/02/17 12:35:0.0,20220217-lts-cam1,,99.96,131:55:00,,,,,"(384,1165)"
2/17/2022,exp1,Camera 1,4,LR,2022/02/17 12:35:0.0,20220217-lts-cam1,,99.96,158:00:00,,,,,"(1159,1152)"
2/17/2022,exp1,Camera 2,5,UL,2022/02/17 12:35:0.0,20220217-lts-cam2,,99.96,123:00:00,,,,,"(386,381)"
2/17/2022,exp1,Camera 2,6,UR,2022/02/17 12:35:0.0,20220217-lts-cam2,,99.96,175:00:00,,,,approx,"(1162,384)"
2/17/2022,exp1,Camera 2,7,LL,2022/02/17 12:35:0.0,20220217-lts-cam2,,99.96,155:00:00,,,,,"(1167,1143)"
2/17/2022,exp1,Camera 2,8,LR,2022/02/17 12:35:0.0,20220217-lts-cam2,,99.96,187:00:00,,,,,"(385,1160)"
2/17/2022,exp1,Camera 3,9,UL,2022/02/17 12:35:0.0,20220217-lts-cam3,,99.96,151,,,,,"(376,387)"
2/17/2022,exp1,Camera 3,10,UR,2022/02/17 12:35:0.0,20220217-lts-cam3,,99.96,102,,,,,"(1149,391)"
2/17/2022,exp1,Camera 3,11,LL,2022/02/17 12:35:0.0,20220217-lts-cam3,,99.96,181,,,,,"(375,1155)"
2/17/2022,exp1,Camera 3,12,LR,2022/02/17 12:35:0.0,20220217-lts-cam3,,99.96,122,,,,,"(1147,1158)"
2/17/2022,exp1,Camera 4,13,UL,2022/02/17 12:35:0.0,20220217-lts-cam4,,99.96,129,,,,,"(380,396)"
2/17/2022,exp1,Camera 4,14,UR,2022/02/17 12:35:0.0,20220217-lts-cam4,,99.96,108,,,,,"(1161,389)"
2/17/2022,exp1,Camera 4,15,LL,2022/02/17 12:35:0.0,20220217-lts-cam4,,99.96,145,,,,,"(399,1171)"
2/17/2022,exp1,Camera 4,16,LR,2022/02/17 12:35:0.0,20220217-lts-cam4,,99.96,"0, basically dead the whole time lol",,,,RIP,"(1170,1155)"
3/12/2022,exp2,Camera 3,17,UL,2022/03/12 21:17:0.0,20220312-lts-cam3,,99.96,112:00:00,,,,,"(384,385)"
3/12/2022,exp2,Camera 3,18,UR,2022/03/12 21:17:0.0,20220312-lts-cam3,,99.96,106:00:00,,,,,"(1157,376)"
3/12/2022,exp2,Camera 3,19,LL,2022/03/12 21:17:0.0,20220312-lts-cam3,,99.96,119:00:00,,,,,"(396,1154)"
3/12/2022,exp2,Camera 3,20,LR,2022/03/12 21:17:0.0,20220312-lts-cam3,,99.96,119:00:00,,,,,"(1164,1150)"
3/12/2022,exp2,Camera 4,21,UL,2022/03/12 21:17:0.0,20220312-lts-cam4,,99.96,117,,,,,"(380,377)"
3/12/2022,exp2,Camera 4,22,UR,2022/03/12 21:17:0.0,20220312-lts-cam4,,99.96,98,,,,,"(1159,386)"
3/12/2022,exp2,Camera 4,23,LL,2022/03/12 21:17:0.0,20220312-lts-cam4,,99.96,73,,,,,"(377,1156)"
3/12/2022,exp2,Camera 4,24,LR,2022/03/12 21:17:0.0,20220312-lts-cam4,,99.96,114,,,,,"(1151,1158)"
3/26/2022,exp3,Camera 3,25,UL,,20220326-lts-cam3,,99.96,99,,,,,"(369,375)"
3/26/2022,exp3,Camera 3,26,UR,,20220326-lts-cam3,,99.96,92,,,,,"(1146,379)"
3/26/2022,exp3,Camera 3,27,LL,,20220326-lts-cam3,,99.96,132,,,,,"(380,1141)"
3/26/2022,exp3,Camera 3,28,LR,,20220326-lts-cam3,,99.96,119,,,,,"(1152,1139)"
3/26/2022,exp3,Camera 4,29,UL,,20220326-lts-cam4,,99.96,,,,,,"(385,380)"
3/26/2022,exp3,Camera 4,30,UR,,20220326-lts-cam4,,99.96,,,,,,"(1161,384)"
3/26/2022,exp3,Camera 4,31,LL,,20220326-lts-cam4,,99.96,,,,,,"(382,1166)"
3/26/2022,exp3,Camera 4,32,LR,,20220326-lts-cam4,,99.96,,,,,,"(1155,1166)"
4/9/2022,exp4,Camera 1,33,UL,,20220409-lts-cam1,,99.96,,,,,,"(337,361)"
4/9/2022,exp4,Camera 1,34,UR,,20220409-lts-cam1,,99.96,,,,,,"(1154, 378)"
4/9/2022,exp4,Camera 1,35,LL,,20220409-lts-cam1,,99.96,,,,,,"(379,1145)"
4/9/2022,exp4,Camera 1,36,LR,,20220409-lts-cam1,,99.96,,,,,,"(1154,1147)"
4/9/2022,exp4,Camera 2,37,UL,,20220409-lts-cam2,,99.96,,,,,,"(369,396)"
4/9/2022,exp4,Camera 2,38,UR,,20220409-lts-cam2,,99.96,,,,,,"(1145,383)"
4/9/2022,exp4,Camera 2,39,LL,,20220409-lts-cam2,,99.96,,,,,,"(378,1160)"
4/9/2022,exp4,Camera 2,40,LR,,20220409-lts-cam2,,99.96,,,,,,"(1154,1150)"
4/9/2022,exp4,Camera 3,41,UL,,20220409-lts-cam3,,99.96,,,,,,"(366,372)"
4/9/2022,exp4,Camera 3,42,UR,,20220409-lts-cam3,,99.96,,,,,,"(1140,372)"
