,NO.,DATE,TIME,TEMPERATURE,RELATIVE-HUMIDITY,DEW-POINT,GPP,DATETIME
0,1,03-12-2022,21:19:17,25.6,11.7,-6.2,16.5,2022-03-12 21:19:17
1,2,03-12-2022,21:20:17,25.7,11.5,-6.3,16.3,2022-03-12 21:20:17
2,3,03-12-2022,21:21:17,25.7,11.4,-6.4,16.2,2022-03-12 21:21:17
3,4,03-12-2022,21:22:17,25.8,11.2,-6.6,16.0,2022-03-12 21:22:17
4,5,03-12-2022,21:23:17,25.9,11.0,-6.7,15.8,2022-03-12 21:23:17
5,6,03-12-2022,21:24:17,25.9,10.9,-6.8,15.7,2022-03-12 21:24:17
6,7,03-12-2022,21:25:17,26.0,10.9,-6.8,15.7,2022-03-12 21:25:17
7,8,03-12-2022,21:26:17,26.1,10.8,-6.8,15.7,2022-03-12 21:26:17
8,9,03-12-2022,21:27:17,26.1,10.7,-6.9,15.6,2022-03-12 21:27:17
9,10,03-12-2022,21:28:17,26.1,10.7,-6.9,15.6,2022-03-12 21:28:17
10,11,03-12-2022,21:29:17,26.2,10.8,-6.7,15.8,2022-03-12 21:29:17
11,12,03-12-2022,21:30:17,26.2,10.8,-6.7,15.8,2022-03-12 21:30:17
12,13,03-12-2022,21:31:17,26.3,10.9,-6.5,16.0,2022-03-12 21:31:17
13,14,03-12-2022,21:32:17,26.3,10.9,-6.5,16.0,2022-03-12 21:32:17
14,15,03-12-2022,21:33:17,26.3,10.9,-6.5,16.0,2022-03-12 21:33:17
15,16,03-12-2022,21:34:17,26.4,10.9,-6.5,16.1,2022-03-12 21:34:17
16,17,03-12-2022,21:35:17,26.4,10.9,-6.5,16.1,2022-03-12 21:35:17
17,18,03-12-2022,21:36:17,26.4,11.0,-6.3,16.3,2022-03-12 21:36:17
18,19,03-12-2022,21:37:17,26.4,10.9,-6.5,16.1,2022-03-12 21:37:17
19,20,03-12-2022,21:38:17,26.4,10.9,-6.5,16.1,2022-03-12 21:38:17
20,21,03-12-2022,21:39:17,26.5,10.9,-6.4,16.2,2022-03-12 21:39:17
21,22,03-12-2022,21:40:17,26.5,10.9,-6.4,16.2,2022-03-12 21:40:17
22,23,03-12-2022,21:41:17,26.5,10.8,-6.5,16.1,2022-03-12 21:41:17
23,24,03-12-2022,21:42:17,26.5,10.8,-6.5,16.1,2022-03-12 21:42:17
24,25,03-12-2022,21:43:17,26.5,10.9,-6.4,16.2,2022-03-12 21:43:17
25,26,03-12-2022,21:44:17,26.5,10.8,-6.5,16.1,2022-03-12 21:44:17
26,27,03-12-2022,21:45:17,26.5,10.9,-6.4,16.2,2022-03-12 21:45:17
27,28,03-12-2022,21:46:17,26.5,11.0,-6.3,16.4,2022-03-12 21:46:17
28,29,03-12-2022,21:47:17,26.5,10.9,-6.4,16.2,2022-03-12 21:47:17
29,30,03-12-2022,21:48:17,26.5,11.0,-6.3,16.4,2022-03-12 21:48:17
30,31,03-12-2022,21:49:17,26.5,11.0,-6.3,16.4,2022-03-12 21:49:17
31,32,03-12-2022,21:50:17,26.5,11.1,-6.2,16.5,2022-03-12 21:50:17
32,33,03-12-2022,21:51:17,26.5,11.1,-6.2,16.5,2022-03-12 21:51:17
33,34,03-12-2022,21:52:17,26.5,11.1,-6.2,16.5,2022-03-12 21:52:17
34,35,03-12-2022,21:53:17,26.5,11.1,-6.2,16.5,2022-03-12 21:53:17
35,36,03-12-2022,21:54:17,26.5,11.2,-6.0,16.7,2022-03-12 21:54:17
36,37,03-12-2022,21:55:17,26.5,11.2,-6.0,16.7,2022-03-12 21:55:17
37,38,03-12-2022,21:56:17,26.5,11.2,-6.0,16.7,2022-03-12 21:56:17
38,39,03-12-2022,21:57:17,26.5,11.2,-6.0,16.7,2022-03-12 21:57:17
39,40,03-12-2022,21:58:17,26.5,11.2,-6.0,16.7,2022-03-12 21:58:17
40,41,03-12-2022,21:59:17,26.5,11.3,-5.9,16.8,2022-03-12 21:59:17
41,42,03-12-2022,22:00:17,26.5,11.2,-6.0,16.7,2022-03-12 22:00:17
42,43,03-12-2022,22:01:17,26.5,11.2,-6.0,16.7,2022-03-12 22:01:17
43,44,03-12-2022,22:02:17,26.5,11.2,-6.0,16.7,2022-03-12 22:02:17
