epoch,loss,lr,val_loss
0,0.00037717397208325565,1e-04,0.00022991753940004855
1,0.00015008007176220417,1e-04,0.00015322334365919232
2,0.00011434972111601382,1e-04,0.00011521597480168566
3,9.993105049943551e-05,1e-04,0.00010830751125467941
4,9.63429847615771e-05,1e-04,0.00010331613157177344
5,9.236548794433475e-05,1e-04,0.00011002877727150917
6,9.114165732171386e-05,1e-04,9.383638825966045e-05
7,9.103843331104144e-05,1e-04,0.00010236303205601871
8,8.566897304262966e-05,1e-04,0.00010091188596561551
9,8.53026649565436e-05,1e-04,9.3846108939033e-05
10,8.241424075094983e-05,1e-04,8.75459227245301e-05
11,7.791478128638119e-05,1e-04,8.91200834303163e-05
12,7.636508962605149e-05,1e-04,8.488409366691485e-05
13,7.300495053641498e-05,1e-04,8.448323933407664e-05
14,7.07052749930881e-05,1e-04,7.67353703849949e-05
15,6.612014840357006e-05,1e-04,7.278926932485774e-05
16,6.311909965006635e-05,1e-04,7.360595191130415e-05
17,6.24732201686129e-05,1e-04,7.576816278742626e-05
18,5.847771535627544e-05,1e-04,6.823355215601623e-05
19,5.811850860482082e-05,1e-04,5.987937402096577e-05
20,5.404279727372341e-05,1e-04,6.344079884001985e-05
21,5.0711914809653535e-05,1e-04,5.5276203056564555e-05
22,5.0322883907938376e-05,1e-04,5.7369423302588984e-05
23,4.711726069217548e-05,1e-04,5.05804673593957e-05
24,4.540557347354479e-05,1e-04,5.8931273088091984e-05
25,4.381086546345614e-05,1e-04,4.7932062443578616e-05
26,4.0832488593878224e-05,1e-04,4.59693546872586e-05
27,4.1995263018179685e-05,1e-04,4.8593865358270705e-05
28,3.7213219911791384e-05,1e-04,4.596412691171281e-05
29,3.7752859498141333e-05,1e-04,4.774089029524475e-05
30,3.678594293887727e-05,1e-04,4.514835381996818e-05
31,3.4746168239507824e-05,1e-04,5.1472237828420475e-05
32,3.0096127375145443e-05,5e-05,3.6891848139930516e-05
33,2.905569999711588e-05,5e-05,3.805573214776814e-05
34,2.869105628633406e-05,5e-05,3.8711998058715835e-05
35,2.774986751319375e-05,5e-05,3.52851020579692e-05
36,2.719211443036329e-05,5e-05,3.406693213037215e-05
37,2.6303376216674224e-05,5e-05,3.509136149659753e-05
38,2.6115616492461413e-05,5e-05,3.707961877807975e-05
39,2.5998286218964495e-05,5e-05,3.5934273910243064e-05
40,2.5251583792851306e-05,5e-05,3.5127941373502836e-05
41,2.5434663257328793e-05,5e-05,3.4507607779232785e-05
42,2.30169443966588e-05,2.5e-05,3.295030546723865e-05
43,2.3053435143083334e-05,2.5e-05,3.4844211768358946e-05
44,2.22189883061219e-05,2.5e-05,3.3406791771994904e-05
45,2.2910408006282523e-05,2.5e-05,3.665953772724606e-05
46,2.1498808564501815e-05,2.5e-05,3.2179432309931144e-05
47,2.2069078113418072e-05,2.5e-05,3.3385313145117834e-05
48,2.1724310499848798e-05,2.5e-05,3.439512147451751e-05
49,2.0255674826330505e-05,1.25e-05,3.255897536291741e-05
50,2.008355295401998e-05,1.25e-05,3.352829662617296e-05
51,2.0802372091566212e-05,1.25e-05,3.419396671233699e-05
52,1.9517234250088222e-05,1.25e-05,3.283146725152619e-05
53,2.023157685471233e-05,1.25e-05,3.1108396797208115e-05
54,1.9980398064944893e-05,1.25e-05,3.094990461249836e-05
55,1.964082730410155e-05,1.25e-05,3.401136928005144e-05
56,1.9520673959050328e-05,1.25e-05,3.0217708626878448e-05
57,1.9768533093156293e-05,1.25e-05,3.0408877137233503e-05
58,1.9508190234773792e-05,1.25e-05,3.149040276184678e-05
59,1.7923999621416442e-05,6.25e-06,3.118197128060274e-05
60,1.896898538689129e-05,6.25e-06,3.020366420969367e-05
61,1.9564542526495643e-05,6.25e-06,3.076598295592703e-05
62,1.863083161879331e-05,6.25e-06,3.0017281460459344e-05
63,1.8983992049470544e-05,6.25e-06,2.925525222963188e-05
64,1.9388613509363495e-05,6.25e-06,3.0439114198088646e-05
65,1.92956631508423e-05,6.25e-06,2.8518981707748026e-05
66,1.8726117559708655e-05,6.25e-06,3.173374352627434e-05
67,1.812936898204498e-05,6.25e-06,2.914036303991452e-05
68,1.8824002836481668e-05,6.25e-06,3.1644573027733713e-05
69,1.8906453988165595e-05,6.25e-06,3.022797500307206e-05
70,1.8468246707925573e-05,6.25e-06,3.082068360527046e-05
71,1.8448819901095703e-05,3.125e-06,3.426903276704252e-05
72,1.8383307178737596e-05,3.125e-06,3.1511535780737177e-05
73,1.834360955399461e-05,3.125e-06,3.219571590307169e-05
74,1.8554752386990003e-05,3.125e-06,3.3614178391871974e-05
75,1.8327689758734778e-05,3.125e-06,2.970447349071037e-05
76,1.7750895494828e-05,3.125e-06,3.1383318855660036e-05
77,1.849125874286983e-05,3.125e-06,3.101831680396572e-05
78,1.763487671269104e-05,1.5625e-06,3.148640098515898e-05
79,1.8519116565585136e-05,1.5625e-06,2.802241397148464e-05
80,1.845477345341351e-05,1.5625e-06,3.135763472528197e-05
81,1.7542140994919464e-05,1.5625e-06,3.512080365908332e-05
82,1.790620262909215e-05,1.5625e-06,3.2746265787864104e-05
83,1.8014796296483837e-05,1.5625e-06,3.296129943919368e-05
84,1.8548878870205954e-05,1.5625e-06,2.8676937290583737e-05
85,1.7818427295424044e-05,7.8125e-07,3.26753179251682e-05
86,1.767332105373498e-05,7.8125e-07,3.205764733138494e-05
87,1.786552820703946e-05,7.8125e-07,3.1278821552405134e-05
88,1.8378330423729494e-05,7.8125e-07,3.289533196948469e-05
89,1.8142194676329382e-05,7.8125e-07,3.1350507924798876e-05
90,1.7893282347358763e-05,7.8125e-07,2.9921788154751994e-05
91,1.7597549231140874e-05,7.8125e-07,3.212394949514419e-05
92,1.7878915969049558e-05,3.90625e-07,3.0811272154096514e-05
93,1.84079326572828e-05,3.90625e-07,3.053803084185347e-05
94,1.7373076843796298e-05,3.90625e-07,2.918048994615674e-05
95,1.715005055302754e-05,3.90625e-07,3.05705689243041e-05
96,1.7475093045504764e-05,3.90625e-07,3.088925950578414e-05
97,1.6785495972726494e-05,3.90625e-07,3.141383422189392e-05
98,1.911013350763824e-05,3.90625e-07,3.1045990908751264e-05
99,1.813605922507122e-05,1.953125e-07,2.9854192689526826e-05
