,Landmark,Error (mm)
0,head,0.020942323432555903
1,head,0.031169294659771515
2,head,0.051368150067098904
3,head,0.06483793899565567
4,head,0.03152586120817748
5,head,0.023277813711407046
6,head,0.037965123171071265
7,head,0.07051352058747232
8,head,0.0314617311679365
9,head,0.05770857261935204
10,head,0.045220305323243136
11,head,0.014085915631421926
12,head,0.05458895274690234
13,head,0.027956467453158308
14,head,0.032841219172978935
15,head,0.0325683332436515
16,head,0.0812174882259851
17,head,0.04823763918065289
18,head,0.015440230141114153
19,head,0.058979837461740965
20,head,0.026469126722517663
21,head,0.02841205568077948
22,head,0.024207990026586426
23,head,0.019218872227156916
24,head,0.016532427590652297
25,head,0.029141753104973113
26,head,0.03041092572298953
27,head,0.03795522533357133
28,head,0.028081815719748913
29,head,0.06399964325184249
30,head,0.04204497331839225
31,head,0.024617856553576806
32,head,0.04971903631387261
33,head,0.06536250305250951
34,head,0.03826643146901661
35,head,0.038730911823112654
36,head,0.08284094497339506
37,head,0.014107640184438825
38,head,0.055278834809523836
39,head,0.02185975112782594
40,head,0.052674839183544535
41,head,0.03348031390803148
42,head,0.019368081050792445
43,head,0.04169474174303734
44,head,0.019210695967789952
45,head,0.058160061211180794
46,head,0.04133831585095195
47,head,0.024501073542712526
48,head,0.014150635193941026
49,head,0.04171435175087246
50,head,0.028200577167855505
51,head,0.01364128967790654
52,head,0.06487620240690395
53,head,0.03817337476147498
54,head,0.020161021964448245
55,head,0.014055634886953577
56,head,0.0035045080919678335
57,head,0.033919569621199123
58,head,0.01736858745888746
59,head,0.08573340512433834
60,head,0.08685876400250217
61,head,0.08790395687278389
62,head,0.020731544774080856
63,head,0.006500183678489584
64,head,0.03333140353112826
65,head,0.026438196001561096
66,head,0.01757767567914362
67,head,0.020617580111599514
68,head,0.017858738579444634
69,head,0.03315936007175999
70,head,0.03355742068822059
71,head,0.026557736469116824
72,head,0.08434056683907908
73,head,0.026333409079552818
74,head,0.08084201457124798
75,head,0.06421562535260181
76,head,0.04072884962014521
77,head,0.031177171887866822
78,head,0.03519432881655955
79,head,0.02395279775933721
80,head,0.06646807128738765
81,head,0.02229299577365719
82,head,0.021378081685336385
83,head,0.044882224560639755
84,head,0.02375220896538887
85,head,0.038615531197712064
86,head,0.019590072041894207
87,head,0.0076725657398071185
88,head,0.002185032079564622
89,head,0.028302478885454462
90,head,0.03724950844614384
91,head,0.02232941792211673
92,head,0.02656124212689546
93,head,0.041706214369323986
94,head,0.15662403885485376
95,head,0.08457922534580463
96,head,0.016848599247449386
97,head,0.07125851208608106
98,head,0.05013902100172699
99,head,0.030311301910778028
100,head,0.01700996069184107
101,head,0.026731168630563865
102,head,0.09430579782714994
103,head,0.014345136057983732
104,head,0.013434893697630028
105,head,0.05023812541989685
106,head,0.02650695416355314
107,head,0.025233033387720413
108,head,0.020789732426833293
109,head,0.015822416408881178
110,head,0.03063253830633061
111,head,0.00966316080013272
112,head,0.051065081735650726
113,head,0.01728756805194973
114,head,0.03947023275699954
115,head,0.03479556487098461
116,head,0.03178665116411819
117,head,0.0483111311348886
118,head,0.01841328057559968
119,head,0.06960390643559575
120,head,0.05752906233497122
121,head,0.009738785791528325
122,head,0.06170744489993481
123,head,0.03349609609137315
124,head,0.018754648227013608
125,head,0.029027124980077274
126,head,0.010883052852351529
127,head,0.032841219172978935
128,head,0.0325683332436515
129,head,0.0812174882259851
130,head,0.04823763918065289
131,head,0.03154107631033052
132,head,0.0464612918147272
133,head,0.048391707729085166
134,head,0.008554709212602915
135,head,0.045507149624185506
136,head,0.012090440460896083
137,head,0.037242296046952394
138,head,0.020244468334595082
139,head,0.010246682295444393
140,head,0.023806721296722712
141,head,0.056593027352588685
142,head,0.036632231874523795
143,head,0.0218951371104599
144,head,0.006447131229523725
145,head,0.02385012980869258
146,head,0.037423087367674
147,head,0.012610810794690785
148,head,0.030488943905219987
149,head,0.03013324066559291
150,head,0.021728966761477966
151,head,0.05071396958234114
152,head,0.016274887374202143
153,head,0.011188534793668646
154,head,0.008739569653890014
155,head,0.023326813070140652
156,head,0.023749979444485037
157,eyeL,0.02143499423837796
158,eyeL,0.017184661394438937
159,eyeL,0.056205141427239966
160,eyeL,0.07774994406526427
161,eyeL,0.012217683400846302
162,eyeL,0.4096963006548048
163,eyeL,0.04772599078993374
164,eyeL,0.03919153529880223
165,eyeL,0.016187551330160928
166,eyeL,0.031568722588341556
167,eyeL,0.055277754729082466
168,eyeL,0.03705877749642989
169,eyeL,0.008851610215717252
170,eyeL,0.0468947205064141
171,eyeL,0.021968590609399208
172,eyeL,0.06743491561944331
173,eyeL,0.020135060111867147
174,eyeL,0.03289825639327042
175,eyeL,0.031625895977219
176,eyeL,0.7336490245348315
177,eyeL,0.021663709010627745
178,eyeL,0.04701470904566406
179,eyeL,0.03621004903785989
180,eyeL,0.05095596786726936
181,eyeL,0.03336781176560518
182,eyeL,0.049293459329200096
183,eyeL,0.0172198284809131
184,eyeL,0.04077613491332646
185,eyeL,0.034621844426285825
186,eyeL,0.044526616068900945
187,eyeL,0.03828808384322656
188,eyeL,0.030285401489584366
189,eyeL,0.048604068049653774
190,eyeL,0.036062111198068535
191,eyeL,0.13997015263663373
192,eyeL,0.0580593694970458
193,eyeL,0.02750076536479444
194,eyeL,0.037846330432157946
195,eyeL,0.037758817959979
196,eyeL,0.03671288913546879
197,eyeL,0.0431063226945582
198,eyeL,0.02292027072162764
199,eyeL,0.04435951056989499
200,eyeL,0.03734374508056894
201,eyeL,0.028480012555027558
202,eyeL,0.07132843036975779
203,eyeL,0.08039192470360874
204,eyeL,0.10062139828972398
205,eyeL,0.025626193614125426
206,eyeL,0.03055062011690519
207,eyeL,0.006748974154961813
208,eyeL,0.009400710042413859
209,eyeL,0.037994791726020466
210,eyeL,0.6749673409594704
211,eyeL,0.03537383331007225
212,eyeL,0.013431480636388653
213,eyeL,0.00809583443516138
214,eyeL,0.042562874133639766
215,eyeL,0.03349311987035837
216,eyeL,0.0738366979184854
217,eyeL,0.05141405428848577
218,eyeL,0.1333179011296975
219,eyeL,0.04090866771708321
220,eyeL,0.033037146524797285
221,eyeL,0.024214297284964433
222,eyeL,0.028559669860517688
223,eyeL,0.04395196956048812
224,eyeL,0.024648622058480434
225,eyeL,0.1139637354612495
226,eyeL,0.06673821548255572
227,eyeL,0.02547600750987302
228,eyeL,0.027700971181827554
229,eyeL,0.04700421309822262
230,eyeL,0.02659104280147574
231,eyeL,0.06409772334119808
232,eyeL,0.049858139890350435
233,eyeL,0.02768153432687316
234,eyeL,0.09697512675390071
235,eyeL,0.0332042986849479
236,eyeL,0.017462880230254427
237,eyeL,0.01887406405645192
238,eyeL,0.026872616471957718
239,eyeL,0.0643258116489289
240,eyeL,0.03596810618010337
241,eyeL,0.03161631419528182
242,eyeL,0.02454176420540771
243,eyeL,0.048314835062655014
244,eyeL,0.03167624718513957
245,eyeL,0.030126599496637305
246,eyeL,0.04021395309473416
247,eyeL,0.020571216468114023
248,eyeL,0.05908858222036513
249,eyeL,0.03349066584228728
250,eyeL,0.051778158053049764
251,eyeL,0.01802686047815442
252,eyeL,0.05029660833912022
253,eyeL,0.036533411506255026
254,eyeL,0.03686092241978079
255,eyeL,0.026773229580430723
256,eyeL,0.012204172978476344
257,eyeL,0.08889157173966676
258,eyeL,0.021699784108898397
259,eyeL,0.08733507061219835
260,eyeL,0.03918198147563147
261,eyeL,0.022859148056194323
262,eyeL,0.5878305664035343
263,eyeL,0.023902368730165584
264,eyeL,0.007275198859940668
265,eyeL,0.03024192604654897
266,eyeL,0.06092063417744097
267,eyeL,0.03043629143650419
268,eyeL,0.034620715574631075
269,eyeL,0.029037893551909964
270,eyeL,0.0269090532827224
271,eyeL,0.03492843118801714
272,eyeL,0.03334296469797652
273,eyeL,0.009501375347403996
274,eyeL,0.02030772402226375
275,eyeL,0.04925565705760435
276,eyeL,0.03643737398476114
277,eyeL,0.03953217998061834
278,eyeL,0.014768151841398715
279,eyeL,0.047616274123365575
280,eyeL,0.07218402712699286
281,eyeL,0.03831803240729109
282,eyeL,0.04899660702440546
283,eyeL,0.05498928060562829
284,eyeL,0.021968590609399208
285,eyeL,0.06743491561944331
286,eyeL,0.020135060111867147
287,eyeL,0.03289825639327042
288,eyeL,0.09755872603695576
289,eyeL,0.03168240767521986
290,eyeL,0.034285277862620235
291,eyeL,0.03891129800987451
292,eyeL,0.0203621726062367
293,eyeL,0.025031152065989642
294,eyeL,0.030602166467960712
295,eyeL,0.020514788451432037
296,eyeL,0.021131337963371008
297,eyeL,0.041038094057519764
298,eyeL,0.13943819757197817
299,eyeL,0.08574592646873584
300,eyeL,0.021345242117471935
301,eyeL,0.5790810882071372
302,eyeL,0.018440338940177065
303,eyeL,0.028278373829800526
304,eyeL,0.014453426624491431
305,eyeL,0.029329356199341877
306,eyeL,0.03030659574595997
307,eyeL,0.00784757895853087
308,eyeL,0.03911725061269685
309,eyeL,0.054566385460180805
310,eyeL,0.05008565400880572
311,eyeL,0.02973039478087622
312,eyeL,
313,eyeL,0.03687121023433969
314,eyeR,0.01578785884468807
315,eyeR,0.03132873328825297
316,eyeR,0.014587098333888167
317,eyeR,0.052685831948096985
318,eyeR,0.04013376717825182
319,eyeR,0.2572514664344349
320,eyeR,0.03450820274313415
321,eyeR,0.07459046753944454
322,eyeR,0.06073675390427727
323,eyeR,0.029474557524689506
324,eyeR,0.016410285151290654
325,eyeR,0.0073326547223000645
326,eyeR,0.04048768453858991
327,eyeR,0.021658495582227193
328,eyeR,0.024071717648200538
329,eyeR,0.037695676240060774
330,eyeR,0.19694603692605783
331,eyeR,0.06467166975540203
332,eyeR,0.04040425989168604
333,eyeR,0.7095891676031503
334,eyeR,0.04388004053302003
335,eyeR,0.024223063599890064
336,eyeR,0.03276114061383199
337,eyeR,0.029975714784163013
338,eyeR,0.015460901274144498
